Codigo: 15, Fecha: 4, Tiempo Total: 33
Codigo: 14, Fecha: 4, Tiempo Total: 39
Codigo: 13, Fecha: 4, Tiempo Total: 45
Codigo: 12, Fecha: 4, Tiempo Total: 47
Codigo: 11, Fecha: 4, Tiempo Total: 31
Codigo: 10, Fecha: 4, Tiempo Total: 32
Codigo: 9, Fecha: 4, Tiempo Total: 53
Codigo: 8, Fecha: 4, Tiempo Total: 17
Codigo: 7, Fecha: 4, Tiempo Total: 34
Codigo: 6, Fecha: 4, Tiempo Total: 27
Codigo: 5, Fecha: 4, Tiempo Total: 27
Codigo: 4, Fecha: 4, Tiempo Total: 61
Codigo: 3, Fecha: 4, Tiempo Total: 47
Codigo: 2, Fecha: 4, Tiempo Total: 46
Codigo: 1, Fecha: 4, Tiempo Total: 40
